번호;영어단어;테마;품사1;의미1;예시문1;품사2;의미2;예시문2;품사3;의미3;예시문3;새 테마
831;via;일상 및 여가 생활;;;;;;;;;;국제 및 지역
832;passage;일상 및 여가 생활;명;통로, (책의) 구절;The passage to the secret garden was hidden behind a thick hedge.;;;;;;;국제 및 지역
833;prefer;일상 및 여가 생활;동;선호하다;I prefer tea over coffee in the morning.;;;;;;;국제 및 지역
834;vessel;일상 및 여가 생활;명;선박;The vessels in the harbor bobbed gently in the water.;;;;;;;국제 및 지역
835;restore;일상 및 여가 생활;동;복원하다;Efforts are underway to restore the ancient ruins to their former glory.;;;;;;;국제 및 지역
836;passive;일상 및 여가 생활;형;수동적인;She took a passive approach to solving the problem, waiting for others to take action.;;;;;;;국제 및 지역
837;experience;일상 및 여가 생활;명;경험;His years of experience in the field made him a valuable asset to the company.;;;;;;;국제 및 지역
838;marble;일상 및 여가 생활;명;대리석;The countertops in the kitchen were made of polished marble.;;;;;;;국제 및 지역
839;classify;일상 및 여가 생활;동;분류하다;It is important to classify the documents according to their content.;;;;;;;국제 및 지역
840;fundamental;일상 및 여가 생활;형;근본적인;Respect for human rights is a fundamental principle of democracy.;;;;;;;국제 및 지역
841;majesty;음식과 요리;명;위엄, 장엄;The majesty of the mountains took her breath away.;;;;;;;국제 및 지역
842;intimate;일상 및 여가 생활;형;친밀한, 친숙한;They shared an intimate conversation over dinner.;;;;;;;국제 및 지역
843;merit;일상 및 여가 생활;명;장점, 가치;The proposal has many merits and deserves serious consideration.;;;;;;;국제 및 지역
844;launch;음식과 요리;명;발사, 출시;The launch of the new product was met with great excitement.;동;시작하다, 출시하다;They decided to launch a new advertising campaign next month.;;;;국제 및 지역
845;conference;일상 및 여가 생활;명;회의;She attended a conference on renewable energy sources.;;;;;;;국제 및 지역
846;reception;일상 및 여가 생활;명;접수처, 환영연회;The receptionist greeted them warmly as they entered the hotel.;;;;;;;국제 및 지역
847;shrug;일상 및 여가 생활;동;어깨를 으쓱하다;He shrugged his shoulders in response to her question.;;;;;;;국제 및 지역
848;vicious;일상 및 여가 생활;형;악랄한;The dog had a vicious temper and would often bite strangers.;;;;;;;국제 및 지역
849;cherish;일상 및 여가 생활;동;소중히 하다;She cherished the memories of her childhood spent by the sea.;;;;;;;국제 및 지역
850;accuse;경제, 금융 및 산업;동;비난하다;He was accused of stealing money from the company.;;;;;;;국제 및 지역
851;eternal;일상 및 여가 생활;형;영원한;Their love for each other seemed eternal and unchanging.;;;;;;;국제 및 지역
852;shrink;일상 및 여가 생활;동;줄어들다, 피하다;The fabric shrunk in the wash and no longer fit.;;;;;;;국제 및 지역
853;colleague;일상 및 여가 생활;명;동료;She discussed the project with her colleagues before making a decision.;;;;;;;국제 및 지역
854;transmit;일상 및 여가 생활;동;보내다, 전염시키다;The radio tower transmits signals across long distances.;;;;;;;국제 및 지역
855;copper;일상 및 여가 생활;명;구리;The pipes in the old house were made of copper.;;;;;;;국제 및 지역
856;orbit;문화와 예술;명;궤도;The satellite was placed into a stable orbit around the Earth.;;;;;;;국제 및 지역
857;overwhelm;일상 및 여가 생활;동;압도하다;She was overwhelmed by the amount of work that needed to be done.;;;;;;;국제 및 지역
858;discard;음식과 요리;동;버리다;Please discard any food that has passed its expiration date.;;;;;;;국제 및 지역
859;famine;일상 및 여가 생활;명;기근;The famine in the region was caused by a prolonged drought.;;;;;;;국제 및 지역
860;pill;일상 및 여가 생활;명;알약;She took a sleeping pill to help her fall asleep.;;;;;;;국제 및 지역
861;enhance;과학과 기술;동;강화하다;The new software update is designed to enhance the user experience.;;;;;;;국제 및 지역
862;immune;건강과 의료;형;면역의;Regular exercise can help boost your immune system.;;;;;;;국제 및 지역
863;superior;일상 및 여가 생활;형;뛰어난;Their product is of superior quality compared to others on the market.;;;;;;;국제 및 지역
864;string;일상 및 여가 생활;동;끈을 달다;She strung the lights along the edge of the roof.;;;;;;;국제 및 지역
865;cope;일상 및 여가 생활;동;대처하다;He struggled to cope with the demands of his new job.;;;;;;;국제 및 지역
866;raw;일상 및 여가 생활;형;날것의, 가공하지 않은;She preferred to eat her vegetables raw rather than cooked.;;;;;;;국제 및 지역
867;apply;일상 및 여가 생활;동;적용되다;The same rules apply to everyone, regardless of their status.;;;;;;;국제 및 지역
868;cattle;일상 및 여가 생활;명;소;The rancher herded the cattle into the pen for feeding.;;;;;;;국제 및 지역
869;loan;일상 및 여가 생활;명;대여;He took out a loan from the bank to buy a new car.;;;;;;;국제 및 지역
870;obedient;일상 및 여가 생활;형;순종하는;The obedient dog always followed its owner's commands.;;;;;;;국제 및 지역
871;procedure;일상 및 여가 생활;명;절차;The procedure for applying for a visa is straightforward.;;;;;;;국제 및 지역
872;bond;기타;명;유대;Their friendship formed a strong bond that lasted a lifetime.;;;;;;;국제 및 지역
873;angle;일상 및 여가 생활;동;비스듬히 움직이다;He angled the mirror so that he could see behind him.;;;;;;;국제 및 지역
874;subtle;문화와 예술;형;미묘한;There was a subtle difference in the color of the two paintings.;;;;;;;국제 및 지역
875;depict;문화와 예술;동;묘사하다;The painting depicts a beautiful sunset over the ocean.;;;;;;;국제 및 지역
876;radical;건강과 의료;형;급진적인;The new government implemented radical changes to the healthcare system.;;;;;;;국제 및 지역
877;therapy;일상 및 여가 생활;명;치료법;She underwent therapy to help her overcome her fear of flying.;;;;;;;국제 및 지역
878;caution;일상 및 여가 생활;명;경고;He ignored the caution of the lifeguard and went swimming in the dangerous currents.;;;;;;;국제 및 지역
879;persist;일상 및 여가 생활;동;지속하다;Despite numerous setbacks, she persisted in her efforts to achieve her goals.;;;;;;;국제 및 지역
880;reverse;일상 및 여가 생활;명;후진;He put the car into reverse and backed out of the parking space.;;;;;;;국제 및 지역
881;support;일상 및 여가 생활;동;지지하다;She was grateful for the support of her friends during difficult times.;;;;;;;국제 및 지역
882;mammal;일상 및 여가 생활;명;포유동물;Humans are classified as mammals because they give birth to live young.;;;;;;;국제 및 지역
883;iceberg;일상 및 여가 생활;명;빙산;The ship had to navigate carefully to avoid hitting the iceberg.;;;;;;;국제 및 지역
884;monetary;일상 및 여가 생활;형;화폐의;The company donated a large sum of monetary aid to the charity.;;;;;;;국제 및 지역
885;revise;일상 및 여가 생활;동;수정하다;She revised her essay several times before submitting it.;;;;;;;국제 및 지역
886;resent;건강과 의료;동;분개하다;She resented her brother for always getting special treatment.;;;;;;;국제 및 지역
887;superb;일상 및 여가 생활;형;뛰어난;The chef prepared a superb meal that left everyone satisfied.;;;;;;;국제 및 지역
888;abrupt;음식과 요리;형;갑작스러운;The abrupt change in weather caught everyone by surprise.;;;;;;;국제 및 지역
889;diverse;문화와 예술;형;다양한;The conference attracted a diverse range of participants from around the world.;;;;;;;국제 및 지역
890;internal;일상 및 여가 생활;형;내부의;The company hired an internal auditor to review its financial records.;;;;;;;국제 및 지역
891;gloom;음식과 요리;명;우울;The gloom of the rainy weather matched her mood perfectly.;;;;;;;국제 및 지역
892;refine;음식과 요리;동;정제하다;The chef continued to refine the recipe until it was perfect.;;;;;;;국제 및 지역
893;dynamic;음악과 엔터테인먼트;형;활발한;The dynamic nature of the music kept the audience engaged throughout the performance.;;;;;;;국제 및 지역
894;nerve;일상 및 여가 생활;명;신경;His constant tapping on the table was getting on her nerves.;;;;;;;국제 및 지역
895;prompt;교육과 학습;동;자극하다;The teacher's question prompted a lively discussion among the students.;;;;;;;국제 및 지역
896;suspend;일상 및 여가 생활;동;보류하다;The company decided to suspend production of the product due to low demand.;;;;;;;국제 및 지역
897;control;과학과 기술;명;통제;The experiment required precise control of temperature and humidity.;;;;;;;국제 및 지역
898;distraction;교육과 학습;명;주의산만;The noise outside was a constant distraction while she was trying to study.;;;;;;;국제 및 지역
899;collapse;일상 및 여가 생활;동;붕괴하다;The building collapsed after being weakened by years of neglect.;;;;;;;국제 및 지역
900;monologue;일상 및 여가 생활;명;독백;The actor delivered a powerful monologue that moved the audience to tears.;;;;;;;국제 및 지역
901;martial;문화와 예술;형;군대의, 전쟁의;He had a martial spirit, ready to defend his country at all costs.;;;;;;;국제 및 지역
902;deliberate;일상 및 여가 생활;형;고의의, 신중한;She made a deliberate decision after careful consideration of all options.;;;;;;;국제 및 지역
903;trigger;일상 및 여가 생활;동;작동시키다, 촉발시키다;The alarm clock is designed to trigger at 6 AM every morning.;명;방아쇠, 계기;The trigger of the gun was pulled.;;;;국제 및 지역
904;plot;정치, 법률 및 사회;명;줄거리, 음모;The detective uncovered a complex plot to overthrow the government.;동;음모를 꾸미다;She decided to plot her revenge against those who wronged her.;;;;국제 및 지역
905;rod;일상 및 여가 생활;명;막대, 낚싯대;He used a sturdy rod to reel in the large fish he caught.;;;;;;;국제 및 지역
906;Atlantic;일상 및 여가 생활;명;대서양;The cruise ship sailed across the vast expanse of the Atlantic.;형;대서양의;The Atlantic coast is known for its stunning beaches.;;;;국제 및 지역
907;industry;경제, 금융 및 산업;명;산업;The automotive industry is constantly evolving with new technology.;;;;;;;국제 및 지역
908;weird;문화와 예술;형;이상한, 괴상한;His weird behavior made everyone uncomfortable at the party.;;;;;;;국제 및 지역
909;suggest;일상 및 여가 생활;동;제안하다, 암시하다;She suggested going to the park for a picnic on Sunday.;;;;;;;국제 및 지역
910;partial;문화와 예술;형;부분적인, 편파적인;His partiality towards certain employees was evident in his decision-making.;;;;;;;국제 및 지역
911;priceless;일상 및 여가 생활;형;대단히 소중한;Her smile was priceless and could brighten anyone's day.;;;;;;;국제 및 지역
912;mutual;기타;형;상호 간의, 공동의;Their mutual respect for each other strengthened their friendship.;;;;;;;국제 및 지역
913;fate;일상 및 여가 생활;명;운명;He believed in fate and that everything happened for a reason.;;;;;;;국제 및 지역
914;booth;일상 및 여가 생활;명;작은 공간;They set up a booth at the trade fair to showcase their products.;;;;;;;국제 및 지역
915;pursue;문화와 예술;동;추구하다;She decided to pursue her dream of becoming an artist.;;;;;;;국제 및 지역
916;prescribe;건강과 의료;동;처방하다, 규정하다;The doctor prescribed medication to help with her illness.;;;;;;;국제 및 지역
917;erupt;일상 및 여가 생활;동;(화산이) 폭발하다;The volcano erupted, sending ash and smoke into the air.;;;;;;;국제 및 지역
918;insult;일상 및 여가 생활;동;모욕하다;She felt insulted by his rude remarks during the meeting.;명;모욕, 모욕적인 말;The insult stung, leaving her feeling hurt and angry.;;;;국제 및 지역
919;gaze;일상 및 여가 생활;동;응시하다;She gazed out of the window, lost in thought.;명;응시;Their intense gaze locked onto each other, conveying their love without words.;;;;국제 및 지역
920;supreme;음식과 요리;명;최고;The pizza was topped with a supreme combination of meats and vegetables.;형;최고의;Her performance was considered supreme earning her a standing ovation.;;;;국제 및 지역
921;transaction;문화와 예술;명;거래, 매매;The transaction was completed smoothly with both parties satisfied with the outcome.;;;;;;;국제 및 지역
922;sufficient;정치, 법률 및 사회;형;충분한;He had sufficient evidence to prove his innocence in court.;;;;;;;국제 및 지역
923;stable;일상 및 여가 생활;형;안정된;She felt stable and secure in her new job.;명;마구간;The stable was clean and well-maintained for the horses.;;;;국제 및 지역
924;sympathy;일상 및 여가 생활;명;연민, 동의;Her heart overflowed with sympathy for the homeless man on the street.;;;;;;;국제 및 지역
925;by-product;기타;명;부산물;The factory disposed of its by-products in an environmentally friendly manner.;;;;;;;국제 및 지역
926;edible;일상 및 여가 생활;형;먹을 수 있는;The berries were ripe and edible, ready to be picked and enjoyed.;;;;;;;국제 및 지역
927;federal;정치, 법률 및 사회;형;연방의, 연방 정부의;The federal government announced new measures to combat inflation.;;;;;;;국제 및 지역
928;bud;일상 및 여가 생활;명;싹, 봉오리, 친구;The flowers began to bloom from tiny buds on the branches.;;;;;;;국제 및 지역
929;trivial;일상 및 여가 생활;형;사소한;She didn't want to waste time on trivial matters.;;;;;;;국제 및 지역
930;anxiety;일상 및 여가 생활;명;걱정, 불안, 열망;He struggled with anxiety before important exams.;;;;;;;국제 및 지역
931;tablet;일상 및 여가 생활;명;알약;She took a tablet to relieve her headache.;;;;;;;국제 및 지역
932;prepare;일상 및 여가 생활;동;준비하다;She prepared a delicious meal for her guests.;;;;;;;일상 생활
933;trade;경제, 금융 및 산업;명;무역하다, 교환하다;International trade plays a significant role in the global economy.;;;;;;;국제 및 지역
934;liquid;일상 및 여가 생활;명;액체;The spill caused a puddle of liquid on the floor.;형;액체의, 유동적의;The substance turned from solid to liquid when heated.;;;;국제 및 지역
935;contend;일상 및 여가 생활;동;싸우다, 주장하다;He had to contend with fierce competition in the job market.;;;;;;;국제 및 지역
936;outlook;일상 및 여가 생활;명;전망, 경치, 견해;She had a positive outlook on life, always seeing the bright side of things.;;;;;;;국제 및 지역
937;roam;일상 및 여가 생활;동;배회하다, 돌아다니다;The children loved to roam freely in the fields near their house.;;;;;;;국제 및 지역
938;decent;일상 및 여가 생활;형;괜찮은, 예의 바른, 적절한;He made a decent living working as a carpenter.;;;;;;;인간과 사회
939;concern;일상 및 여가 생활;명;걱정, 관심;She expressed concern for her friend's well-being.;동;걱정하다, 관심을 갖다;He didn't concern himself with trivial matters.;;;;국제 및 지역
940;behalf;일상 및 여가 생활;명;측, 편, 이익;He spoke on behalf of the company at the conference.;;;;;;;비즈니스와 경제
941;suffer;일상 및 여가 생활;동;고통 받다, 겪다;She suffered a minor injury in the accident.;;;;;;;국제 및 지역
942;distortion;음식과 요리;명;왜곡, 찌그러뜨림;The artist used distortion to create a sense of movement in the painting.;;;;;;;국제 및 지역
943;infinite;일상 및 여가 생활;형;무한한;The universe seemed infinite with endless possibilities.;;;;;;;국제 및 지역
944;anticipate;일상 및 여가 생활;동;예상하다, 기대하다;She eagerly anticipated the arrival of her long-lost friend.;;;;;;;국제 및 지역
945;symbolic;일상 및 여가 생활;형;상징적인;The dove is symbolic of peace and harmony.;;;;;;;국제 및 지역
946;municipal;정치, 법률 및 사회;형;지방 자치제의;The municipal government announced plans to improve local infrastructure.;;;;;;;국제 및 지역
947;phenomenon;일상 및 여가 생활;명;현상;The aurora borealis is a natural phenomenon that captivates viewers.;;;;;;;국제 및 지역
948;devote;음악과 엔터테인먼트;동;(시간, 노력)쏟다;She devoted all her time and energy to her passion for music.;;;;;;;국제 및 지역
949;peasant;일상 및 여가 생활;명;소작농;The peasants worked hard in the fields to harvest their crops.;;;;;;;국제 및 지역
950;tenant;문화와 예술;명;세입자;The landlord had trouble finding a new tenant for the apartment.;;;;;;;국제 및 지역
951;worthwhile;일상 및 여가 생활;형;가치있는;She believed the project was worthwhile and would make a difference.;;;;;;;국제 및 지역
952;pavement;일상 및 여가 생활;명;포장도로;She walked along the pavement enjoying the hustle and bustle of the city.;;;;;;;국제 및 지역
953;dioxide;기타;명;(화학)이산화물;Carbon dioxide is a greenhouse gas that contributes to climate change.;;;;;;;국제 및 지역
954;diminish;일상 및 여가 생활;동;줄이다, 약화시키다;The value of the antique vase diminished over time.;;;;;;;국제 및 지역
955;jealous;일상 및 여가 생활;형;질투하는, 시기하는;Her success made her colleagues jealous of her achievements.;;;;;;;국제 및 지역
956;limp;일상 및 여가 생활;형;기운이 없는, 축 처진;He walked with a limp after injuring his leg in a skiing accident.;;;;;;;국제 및 지역
957;exclude;일상 및 여가 생활;동;제외하다, 차단하다;The club excluded members who didn't adhere to the rules.;;;;;;;국제 및 지역
958;flexible;일상 및 여가 생활;형;융통성 있는, 잘 구부러지는;She admired his flexible approach to problem-solving.;;;;;;;국제 및 지역
959;nominate;일상 및 여가 생활;동;지명하다;She nominated her colleague for the Employee of the Month award.;;;;;;;국제 및 지역
960;sacred;일상 및 여가 생활;형;성스러운, 종교적인;The temple was a sacred place for worship and meditation.;;;;;;;국제 및 지역
961;context;일상 및 여가 생활;명;맥락;She understood the meaning of the word within the context of the sentence.;;;;;;;국제 및 지역
962;complete;교육과 학습;형;완벽한;She achieved complete mastery over the subject after years of study.;동;완료하다;He completed the task ahead of schedule.;;;;국제 및 지역
963;race;일상 및 여가 생활;명;경주, 인종;The race for the presidency was highly competitive.;동;경주하다;They raced against each other to reach the finish line.;;;;국제 및 지역
964;dominate;일상 및 여가 생활;동;지배하다;The giant corporation dominated the market leaving little room for competition.;;;;;;;국제 및 지역
965;vehicle;일상 및 여가 생활;명;탈것;She drove a luxurious vehicle to the event.;;;;;;;국제 및 지역
966;complain;일상 및 여가 생활;동;불평하다;She complained about the poor service at the restaurant.;;;;;;;국제 및 지역
967;brochure;일상 및 여가 생활;명;브로셔;She picked up a brochure with information about tourist attractions in the area.;;;;;;;국제 및 지역
968;force;일상 및 여가 생활;명;힘;The force of the impact caused significant damage to the vehicle.;동;강요하다;They were forced to evacuate their homes due to the approaching hurricane.;;;;국제 및 지역
969;nest;일상 및 여가 생활;명;둥지;The birds built their nest high up in the tree.;;;;;;;국제 및 지역
970;gain;일상 및 여가 생활;동;얻다;He hoped to gain valuable experience from his internship.;;;;;;;국제 및 지역
971;curriculum;일상 및 여가 생활;명;교육 과정;The curriculum for the new semester included a variety of subjects.;;;;;;;국제 및 지역
972;sew;교육과 학습;동;바느질하다;She learned how to sew her own clothes.;;;;;;;국제 및 지역
973;masculine;일상 및 여가 생활;형;남자의;He had a masculine physique with broad shoulders and strong muscles.;;;;;;;국제 및 지역
974;frown;일상 및 여가 생활;동;눈살을 찌푸리다;She frowned at the news of her friend's illness.;명;찡그린 얼굴;His constant frown made him appear unapproachable.;;;;국제 및 지역
975;astound;일상 및 여가 생활;동;놀라게 하다, 깜짝 놀라게 하다;The magician's tricks never failed to astound the audience.;;;;;;;국제 및 지역
976;dictator;일상 및 여가 생활;명;독재자;The dictator ruled the country with an iron fist.;;;;;;;국제 및 지역
977;assessment;일상 및 여가 생활;명;평가;Her assessment of the situation was accurate and insightful.;;;;;;;국제 및 지역
978;crucial;일상 및 여가 생활;형;중대한, 결정적인;The final exam was crucial for his graduation.;;;;;;;국제 및 지역
979;paralysis;일상 및 여가 생활;명;마비;The accident left him paralyzed from the waist down.;;;;;;;국제 및 지역
980;deck;일상 및 여가 생활;명;(배의) 갑판;They enjoyed the view from the deck of the cruise ship.;;;;;;;국제 및 지역
981;cheer;스포츠;명;환호;The crowd erupted into cheers as the team scored the winning goal.;동;환호하다;She cheered on her favorite team from the sidelines.;;;;국제 및 지역
982;miserable;일상 및 여가 생활;형;비참한;He felt miserable after failing his driving test for the third time.;;;;;;;국제 및 지역
983;tease;일상 및 여가 생활;동;괴롭히다;He liked to tease his little sister by hiding her toys.;;;;;;;인간과 사회
984;aggressive;일상 및 여가 생활;형;공격적인;The dog became aggressive when approached by strangers.;;;;;;;국제 및 지역
985;cure;건강과 의료;동;치료하다;Doctors are working hard to find a cure for cancer.;명;치료;Herbs were used as a cure for various ailments in traditional medicine.;;;;국제 및 지역
986;attribute;일상 및 여가 생활;동;~의 결과로 여기다;She attributed her success to hard work and determination.;명;속성;One important attribute of a good leader is honesty.;;;;국제 및 지역
987;foster;음식과 요리;동;육성하다;The organization aims to foster creativity and innovation among its employees.;;;;;;;국제 및 지역
988;phychologist;일상 및 여가 생활;명;심리학자;The psychologist helped her work through her anxiety issues.;;;;;;;국제 및 지역
989;postpone;일상 및 여가 생활;동;연기하다;The meeting was postponed until next week due to scheduling conflicts.;;;;;;;국제 및 지역
990;rob;일상 및 여가 생활;동;강탈하다, 훔치다;The thieves robbed the bank and fled with millions of dollars.;;;;;;;국제 및 지역
991;abuse;일상 및 여가 생활;동;남용하다, 학대하다;He was arrested for abusing his position of authority for personal gain.;명;남용, 학대;She suffered years of abuse at the hands of her ex-husband.;;;;국제 및 지역
992;unemployed;일상 및 여가 생활;형;실업의;The unemployed workers protested outside the factory for better conditions.;;;;;;;국제 및 지역
993;breakdown;문화와 예술;명;고장, 쇠약;The breakdown of communication between departments led to inefficiencies.;;;;;;;국제 및 지역
994;disguise;일상 및 여가 생활;동;숨기다, 변장;The spy disguised himself as a waiter to gather information.;;;;;;;국제 및 지역
995;blueprint;일상 및 여가 생활;명;청사진;The architect presented the blueprint for the new building.;;;;;;;국제 및 지역
996;rear;일상 및 여가 생활;형;뒤의;The rear entrance of the building was used for deliveries.;명;뒤;The rear of the car was damaged in the accident.;동;기르다;She helped rear her younger siblings after their parents passed away.;국제 및 지역
997;output;일상 및 여가 생활;명;생산량;The factory increased its output to meet growing demand.;;;;;;;국제 및 지역
998;sermon;일상 및 여가 생활;명;설교;The pastor delivered a powerful sermon on forgiveness.;;;;;;;국제 및 지역
999;sprout;일상 및 여가 생활;동;싹이 트다. 싹;The seeds sprouted after being planted in fertile soil.;;;;;;;국제 및 지역
1000;tin;일상 및 여가 생활;명;주석, 양철;She stored cookies in a tin to keep them fresh.;;;;;;;국제 및 지역
1001;reform;건강과 의료;동;개혁하다;The government initiated a reform to improve the healthcare system.;명;개혁;A reform in the education system led to significant improvements in student performance.;;;;국제 및 지역
1002;deal;일상 및 여가 생활;동;다루다;He's skilled at dealing with difficult situations.;명;거래;The company struck a deal with its competitors to expand its market share.;;;;국제 및 지역
1003;recruit;일상 및 여가 생활;동;모집하다;The army recruits new soldiers every year.;명;신병;The recruit showed great promise during training.;;;;국제 및 지역
1004;maintain;일상 및 여가 생활;동;유지하다;It's important to maintain good relations with your neighbors.;명;유지;Maintenance of the machinery is crucial for smooth operation.;;;;국제 및 지역
1005;workshop;문화와 예술;명;작업장;The workshop was equipped with state-of-the-art tools.;명;워크숍, 강습;He attended a workshop on financial planning.;;;;국제 및 지역
1006;patient;건강과 의료;명;환자;The hospital treated hundreds of patients every day.;형, 명;참을성 있는, 참을성;Patience is a virtue that he lacks.;;;;국제 및 지역
1007;convention;일상 및 여가 생활;명;총회;The convention attracted delegates from all over the world.;명, 형;관습, 관습적인;The convention of tipping waiters is common in many countries.;;;;국제 및 지역
1008;devastate;일상 및 여가 생활;동;황폐시키다;The hurricane devastated the coastal town.;형,명;황폐, 황폐한;The aftermath of the war left the city in a state of devastation.;;;;국제 및 지역
1009;reap;일상 및 여가 생활;동;수확하다;After years of hard work, he finally reaped the rewards of his labor.;명,형;수확, 수확기;The harvest season is when farmers reap the fruits of their labor.;;;;국제 및 지역
1010;overlook;일상 및 여가 생활;동;간과하다;She overlooked the importance of double-checking her work.;동,부;내려다보다, 내려다보는;From the mountain peak, they could overlook the entire valley below.;;;;국제 및 지역
1011;deliver;일상 및 여가 생활;동;배달하다;The courier delivered the package to the wrong address.;동;(연설을)하다, (연설을)하고 나서;The president will deliver a speech at the conference tomorrow.;;;;국제 및 지역
1012;reject;일상 및 여가 생활;동;거부하다;The committee decided to reject the proposal.;명,형;거부, 거부하는;The rejection of his application was disappointing.;;;;인간과 사회
1013;nourish;일상 및 여가 생활;동;영양분을 주다;The mother nourished her baby with breast milk.;동,형;기르다, 기르는;The soil was nourished by regular applications of fertilizer.;;;;국제 및 지역
1014;bay;일상 및 여가 생활;명;만;The ship anchored in the sheltered bay.;명;분만, 해역;The bay was dotted with fishing boats.;;;;국제 및 지역
1015;stun;일상 및 여가 생활;동;놀라게 하다;Her performance on stage stunned the audience into silence.;형;깜짝 놀라게 하는;The sudden news of his resignation stunned everyone in the office.;;;;인간과 사회
1016;particular;문화와 예술;형;특정한;He had a particular interest in ancient history.;부;특히;This particular solution is effective for solving complex problems.;;;;국제 및 지역
1017;bulletin;스포츠;명;게시(물);The bulletin board displayed important announcements.;명, 동;소식, 소식을 전하다;The daily bulletin included weather forecasts and local news.;;;;국제 및 지역
1018;fluid;일상 및 여가 생활;형;유동성의;Fluid dynamics is a branch of physics that studies the behavior of fluids.;명;유동체;The mechanics of fluid flow are complex and fascinating.;;;;국제 및 지역
1019;affair;일상 및 여가 생활;명;일;His personal affairs were in disarray after the divorce.;명;사건, 이벤트;The political affair caused a scandal in the media.;;;;국제 및 지역
1020;dawn;문화와 예술;명;새벽;The birds started chirping at the break of dawn.;동;날이 새다;The sky began to lighten as dawn approached.;;;;국제 및 지역
1021;hostile;일상 및 여가 생활;형;적대적인;The hostile takeover bid was met with strong opposition from shareholders.;명,형;적대, 적대적인;His hostile attitude made it difficult to negotiate with him.;;;;국제 및 지역
1022;characteristic;일상 및 여가 생활;명;특징;One characteristic of a good leader is the ability to listen to others.;형;특징적인;The region is known for its characteristic cuisine and culture.;;;;과학과 기술
1023;respect;일상 및 여가 생활;동;존경하다;She respected her mentor for his wisdom and guidance.;명;존경;Respect for elders is a common value in many cultures.;;;;국제 및 지역
1024;await;일상 및 여가 생활;동;기다리다;She awaited the arrival of her long-lost brother with anticipation.;형;기다리는;The troops awaited further orders from their commanding officer.;;;;국제 및 지역
1025;concrete;일상 및 여가 생활;형;구체적인;The architect presented concrete plans for the new building.;명;콘크리트;The sidewalk was made of concrete.;;;;국제 및 지역
1026;lease;일상 및 여가 생활;동;임대하다;They decided to lease the office space rather than buy it outright.;명;임대차 계약;The lease agreement stipulated the terms and conditions of the rental.;;;;국제 및 지역
1027;racial;일상 및 여가 생활;형;인종의;Racial discrimination is a serious problem in many societies.;명,형;인종, 인종적인;The racial makeup of the neighborhood was diverse.;;;;국제 및 지역
1028;variable;과학과 기술;형;변수;The success of the experiment depended on controlling all variables.;명,형;변동, 변동하는;The weather in this region is highly variable.;;;;국제 및 지역
1029;satisfy;문화와 예술;동;만족시키다;He satisfied his hunger with a hearty meal.;명, 형;만족, 만족스러운;The customer's needs were satisfied by the company's prompt service.;;;;국제 및 지역
1030;rule;일상 및 여가 생활;명;규칙;The rules of the game were simple and easy to follow.;동;지배하다;The dictator ruled the country with an iron fist.;;;;국제 및 지역
1031;perseverance;일상 및 여가 생활;명;인내심;His perseverance in the face of adversity was admirable.;;;;;;;국제 및 지역
1032;fatal;일상 및 여가 생활;형;치명적인;The disease had a fatal outcome for many of its victims.;;;;;;;국제 및 지역
1033;remove;일상 및 여가 생활;동;제거하다;She carefully removed the splinter from her finger.;;;;;;;국제 및 지역
1034;invert;일상 및 여가 생활;동;뒤집다;The image was inverted in the mirror.;;;;;;;국제 및 지역
1035;tension;일상 및 여가 생활;명;긴장;The tension in the room was palpable as they awaited the results.;;;;;;;건강과 웰빙
1036;reign;일상 및 여가 생활;명;통치;During his reign; the king implemented many reforms.;;;;;;국제 및 지역
1037;crack;일상 및 여가 생활;명;금이 가다;The crack in the vase was barely noticeable at first.;;;;;;;국제 및 지역
1038;startle;문화와 예술;동;깜짝 놀라게 하다;The loud noise startled the cat.;;;;;;;인간과 사회
1039;discourage;일상 및 여가 생활;동;낙담시키다;Despite the setbacks; she refused to be discouraged.;;;;;;국제 및 지역
1040;compensate;일상 및 여가 생활;동;보상하다;The company compensated the workers for their overtime.;;;;;;;국제 및 지역
1041;convert;일상 및 여가 생활;동;전환시키다;They converted the old warehouse into a modern office space.;;;;;;;국제 및 지역
1042;strike;일상 및 여가 생활;동;치다;The lightning strike caused a power outage in the neighborhood.;;;;;;;국제 및 지역
1043;suppress;정치, 법률 및 사회;동;억압하다;The government sought to suppress dissent among the population.;;;;;;;국제 및 지역
1044;core;일상 및 여가 생활;명;핵심;The core of the argument lies in the interpretation of the data.;;;;;;;국제 및 지역
1045;contribute;일상 및 여가 생활;동;공헌하다;She contributed her time and effort to the charity organization.;;;;;;;국제 및 지역
1046;spear;일상 및 여가 생활;명;창;The warrior wielded his spear with deadly accuracy.;;;;;;;국제 및 지역
1047;renowned;과학과 기술;형;명성 있는;The renowned scientist received the Nobel Prize for his groundbreaking research.;;;;;;;인간과 사회
1048;era;문화와 예술;명;시대;The Renaissance era was characterized by a flourishing of arts and culture.;;;;;;;국제 및 지역
1049;withdraw;일상 및 여가 생활;동;인출하다;He decided to withdraw his savings from the bank.;;;;;;;국제 및 지역
1050;immigrate;일상 및 여가 생활;동;이주하다;Many people immigrate to other countries in search of better opportunities.;;;;;;;국제 및 지역
1051;dignity;일상 및 여가 생활;명;존엄;He conducted himself with dignity even in the face of criticism.;;;;;;;국제 및 지역
